# Hand-written control set for the legibility-boundary measurement.
#
# The real question set for that measurement is GENERATED, not written: a model
# shown a tight native-resolution crop of one instance produces the question,
# its answer and its time, and the probe then has to answer it from the ordinary
# downscaled payload. See section 0 of
# notes/2026-08-23-what-the-roi-runs-do-not-show.md.
#
# This file is what the generator is scored against before it is trusted. It is
# small, hand-written and hand-checkable, so a generator that disagrees with it
# is producing questions whose stated answers are wrong -- which is the one
# failure mode that would quietly invalidate the whole automatic pipeline.
# Keep it small and keep its truth verified by eye; do not grow it by hand.
#
# The queries below are also mostly ATTRIBUTE RECOGNITION rather than
# localisation. That is deliberate for a perception-floor control -- the
# boundary is a perception property -- but it makes them a poor model for the
# generated set, which should ask where and when something happens, and be
# scored on t_start_sec / clearest_frame_sec as well as on presence.
#
# WHY THE EARLIER VERSION OF THIS FILE WAS WRONG. It tagged each query with an
# expected pixel size (px-60, px-30, px-15) and claimed the bands as the
# experiment's structure. On this camera an object's pixel size is a function
# of where it sits in the frame, not of what it is: README section 1 says a
# pixel spans centimetres near the camera and tens of centimetres across the
# intersection, and notes/figures/signal-head-{near,far}.jpg are the same
# object class differing about fourfold in apparent size. A per-class band is
# not a well-defined quantity here. Only two numbers in this repo are measured
# -- signal heads ~20-30 px and a cargo trike ~50x30 px, both from the
# 2026-08-20 note -- and the rest of that banding was invented.
#
# So the size structure has to come from MEASUREMENT, per instance: the box in
# native pixels, by hand for a first pass or straight off the COSMOS YOLO
# annotations once data/ is back. The axis field below is back to being the
# capability axis, which is what the run summary attributes failures to; size
# is a property of the instance a query lands on, and belongs in the boundary
# table, not in a query tag.
#
# The one structure available for free is NEAR vs FAR: the same object class at
# two depths in the same frame, same moment, same call, same lighting -- only
# apparent size differs. Signal heads are ideal, being fixed and always both
# present. Where a query below has a near/far form, run both and note which one
# flips; that pair locates the boundary without any ablation at all.
#
# Ordering below is by GUESSED difficulty, coarse to fine. That guess is what
# section 0 replaces.

# --- control: large at every depth, must not flip --------------------------
# If either of these gets a different answer between conditions, the run is
# measuring noise and nothing else in the table can be read.
referential | an articulated (bendy) city bus passing through the intersection
referential | a yellow taxi crossing the intersection

# --- whole small road users ------------------------------------------------
referential | a rider on two wheels crossing the intersection, and whether they are on a bicycle, an e-bike or a standing e-scooter
referential | a pedestrian pushing a stroller or a shopping cart
referential | a person walking a dog

# --- attached objects and lit parts ----------------------------------------
referential | a delivery rider whose e-bike carries a large insulated cargo box
referential | a vehicle whose brake lights are lit while it is stopped
referential | a turning vehicle with its indicator lit on the side it is turning toward

# --- state axis: the near/far pair that matters -----------------------------
# ~20-30 px head width, measured (F6). Signal heads are the cleanest boundary
# probe in the scene: fixed, always present, and a near and a far instance
# appear in the same frame. Ask both; the pair is the measurement.
state | the colour showing on the traffic signal head NEAREST the camera, read directly off the illuminated lens and not inferred from how traffic is moving
state | the colour showing on the traffic signal head FURTHEST from the camera, read directly off the illuminated lens and not inferred from how traffic is moving
state | a pedestrian signal showing a white walking figure rather than an orange hand

# --- finest evidence in the scene ------------------------------------------
# Expect these below the boundary everywhere. If one is answered correctly and
# repeatably, that is the single most informative result available here.
referential | the route number or destination shown on the front or side of a bus
referential | a taxi with its roof number light lit, marking it as available
