# Free-form event queries. One relation per line, no pairs.
#
# WHAT IS BEING MEASURED. Not "did it say yes". For every match the model
# returns t_start_sec, t_end_sec, clearest_frame_sec, subject and what_happens.
# The claim is checked by opening the named second in runs/<run name>/ and
# looking. If the named road user is not doing the named thing at the named
# time, the answer is wrong -- regardless of how plausible the sentence is.
# An empty matches list is a correct and expected answer for many of these.
#
# THREE RULES THE LINES BELOW FOLLOW, learned from the 2026-08-28 paired run:
#
# 1. ONE RELATION PER LINE. The paired set bundled two or three clauses per
#    query ("stopped" + "to let them cross" + "moved off only after"). A model
#    can satisfy one clause and report the whole thing as an exact match, and
#    the failure is then unattributable.
#
# 2. NOTHING THAT NEEDS SUB-2s ORDERING. Sampling is 0.5 fps, one frame every
#    two seconds. "Moved off only after they had passed", "stepped back then
#    continued" -- those distinctions are finer than the sample interval, so
#    the evidence is not in the payload at all. Asking them scores the sampling
#    rate, not the model. Raise --fps before asking any of them.
#
# 3. NO PAIRS. Pairing was a way to score without ground truth, and it did not
#    work: on the 2026-08-28 run the only fabrication found was placed at a
#    timestamp where it triggered no contradiction, while the two overlaps that
#    were flagged named different road users and so were not contradictions at
#    all. Ground truth by eye is what actually settles a claim, and it settles
#    single queries just as well at half the cost.
#
# SITE CONSTRAINTS these respect: the east sidewalk is hidden by a scaffolding
# shed, so nothing there is askable; no vehicle signal face is legible from
# this camera, so nothing here depends on a vehicle light.

# --- relational: the study ---------------------------------------------------
yield    | a vehicle stopped in the roadway while a pedestrian crosses in front of it
yield    | a turning vehicle stopped part-way through its turn
conflict | two road users close enough that one of them changes course or speed
conflict | a cyclist passing close to a moving vehicle
block    | a vehicle unable to proceed because another vehicle is stopped in its lane
block    | a queue of vehicles waiting behind something stationary
worker   | a construction worker signalling to drivers
worker   | a construction worker standing in a live traffic lane
detour   | a pedestrian walking in the roadway alongside the closed sidewalk
detour   | a vehicle steering around cones or barriers in the roadway
transit  | a bus stopped at the kerb with people getting on or off

# --- floor: a rule could also answer these, so they can be scored objectively -
floor    | a vehicle stopped with part of its body on the crosswalk markings
floor    | a pedestrian crossing the roadway outside the crosswalk markings
floor    | a cyclist or e-bike rider riding on the sidewalk
floor    | a vehicle stopped in a moving lane with traffic going around it

# --- negative controls -------------------------------------------------------
# Not verified absent on this clip. A hit is a candidate fabrication and must be
# checked against the frames before it is called one.
negative | a horse-drawn carriage
negative | a vehicle that has driven up onto the sidewalk
negative | two vehicles making contact with each other
